cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
14855,95,"InChI=1S/C7H7ClO/c1-5-4-6(8)2-3-7(5)9/h2-4,9H,1H3",CC1=C(C=CC(=C1)Cl)O,CC1=C(C=CC(=C1)Cl)O,RHPUJHQBPORFGV-UHFFFAOYSA-N,4-chloro-2-methylphenol,"118 to 124 °F (NTP, 1992)"
17818,95,"InChI=1S/C7H9NO/c1-5-2-3-6(8)4-7(5)9/h2-4,9H,8H2,1H3",CC1=C(C=C(C=C1)N)O,CC1=C(C=C(C=C1)N)O,DBFYESDCPWWCHN-UHFFFAOYSA-N,5-amino-2-methylphenol,"320 to 347 °F (sublimes) (NTP, 1992)"
17820,95,"InChI=1S/C7H9NO/c1-5-2-3-6(9)4-7(5)8/h2-4,9H,8H2,1H3",CC1=C(C=C(C=C1)O)N,CC1=C(C=C(C=C1)O)N,NUNAWQZKZVVELQ-UHFFFAOYSA-N,3-amino-4-methylphenol,"313 to 315 °F (NTP, 1992)"
18487,95,"InChI=1S/C7H8ClN.ClH/c1-5-4-6(8)2-3-7(5)9;/h2-4H,9H2,1H3;1H",CC1=C(C=CC(=C1)Cl)N.Cl,CC1=C(C=CC(=C1)Cl)N.Cl,VKYZDCTWJGBFDW-UHFFFAOYSA-N,4-chloro-2-methylaniline;hydrochloride,"198 to 201 °F (decomposes) (NTP, 1992)"
36098,95,"InChI=1S/C7H11NS/c1-4-7-5(2)9-6(3)8-7/h4H2,1-3H3",CCC1=C(SC(=N1)C)C,CCC1=C(SC(=N1)C)C,ZJGXJKFDKNNBTK-UHFFFAOYSA-N,"4-ethyl-2,5-dimethyl-1,3-thiazole",115 - 116 °C
7276,95,"InChI=1S/C8H8O/c1-2-4-7(5-3-1)8-6-9-8/h1-5,8H,6H2",C1C(O1)C2=CC=CC=C2,C1C(O1)C2=CC=CC=C2,AWMVMTVKBNGEAK-UHFFFAOYSA-N,2-phenyloxirane,"-35 °F (NTP, 1992)"
10426,95,"InChI=1S/C2Cl4O2/c3-1(7)8-2(4,5)6",C(=O)(OC(Cl)(Cl)Cl)Cl,C(=O)(OC(Cl)(Cl)Cl)Cl,HCUYBXPSSCRKRF-UHFFFAOYSA-N,trichloromethyl carbonochloridate,-57 °C
31256,95,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3",CC(=O)CC(C)(C)O,CC(=O)CC(C)(C)O,SWXVUIWOUIDPGS-UHFFFAOYSA-N,4-hydroxy-4-methylpentan-2-one,"-45 °F (USCG, 1999)"
5282707,95,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h4-5H,2-3H2,1H3,(H,7,8)/b5-4+",CCC/C=C/C(=O)O,CCCC=CC(=O)O,NIONDZDPPYHYKY-SNAWJCMRSA-N,(E)-hex-2-enoic acid,28.00 to 34.00 °C. @ 760.00 mm Hg
5355152,95,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)/b4-3-",CC/C=C\CC(=O)O,CCC=CCC(=O)O,XXHDAWYDNSXJQM-ARJAWSKDSA-N,(Z)-hex-3-enoic acid,12 °C
10695,95,"InChI=1S/C10H14/c1-7-5-8(2)10(4)9(3)6-7/h5-6H,1-4H3",CC1=CC(=C(C(=C1)C)C)C,CC1=CC(=C(C(=C1)C)C)C,BFIMMTCNYPIMRN-UHFFFAOYSA-N,"1,2,3,5-tetramethylbenzene","-10.6 °F (USCG, 1999)"
13,94,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,C1=CC(=C(C=C1Cl)Cl)Cl,C1=CC(=C(C=C1Cl)Cl)Cl,PBKONEOXTCPAFI-UHFFFAOYSA-N,"1,2,4-trichlorobenzene","63 °F (NTP, 1992)"
6658,94,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3",CC(=C)C(=O)OC,CC(=C)C(=O)OC,VVQNEPGJFQJSBK-UHFFFAOYSA-N,methyl 2-methylprop-2-enoate,"-54 °F (NTP, 1992)"
7916,94,"InChI=1S/C5H8O2/c1-4(2)7-5(3)6/h1H2,2-3H3",CC(=C)OC(=O)C,CC(=C)OC(=O)C,HETCEOQFVDFGSY-UHFFFAOYSA-N,prop-1-en-2-yl acetate,-92.9 °C
11747,94,"InChI=1S/C5H8O2/c1-3-5(7)4(2)6/h3H2,1-2H3",CCC(=O)C(=O)C,CCC(=O)C(=O)C,TZMFJUDUGYTVRY-UHFFFAOYSA-N,"pentane-2,3-dione",-52 °C
14818,94,InChI=1S/P4S3/c5-1-2-3(1)7-4(5)6-2,P12P3P1SP(S2)S3,P12P3P1SP(S2)S3,RWQFRHVDPXXRQN-UHFFFAOYSA-N,"3,5,7-trithia-1,2,4,6-tetraphosphatricyclo[2.2.1.02,6]heptane",172.5 °C
7529,94,"InChI=1S/C9H10/c1-3-9-6-4-5-8(2)7-9/h3-7H,1H2,2H3",CC1=CC(=CC=C1)C=C,CC1=CC(=CC=C1)C=C,JZHGRUMIRATHIU-UHFFFAOYSA-N,1-ethenyl-3-methylbenzene,-86.3 °C
10703,94,"InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3",CC1=CC=CC=C1C(C)C,CC1=CC=CC=C1C(C)C,WWRCMNKATXZARA-UHFFFAOYSA-N,1-methyl-2-propan-2-ylbenzene,-71.5 °C
10812,94,"InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3",CC1=CC(=CC=C1)C(C)C,CC1=CC(=CC=C1)C(C)C,XCYJPXQACVEIOS-UHFFFAOYSA-N,1-methyl-3-propan-2-ylbenzene,-63.8 °C
11427,94,"InChI=1S/C5H10O3S/c1-9-3-2-4(6)5(7)8/h4,6H,2-3H2,1H3,(H,7,8)",CSCCC(C(=O)O)O,CSCCC(C(=O)O)O,ONFOSYPQQXJWGS-UHFFFAOYSA-N,2-hydroxy-4-methylsulfanylbutanoic acid,250 °C
11904,94,"InChI=1S/C9H10/c1-3-9-7-5-4-6-8(9)2/h3-7H,1H2,2H3",CC1=CC=CC=C1C=C,CC1=CC=CC=C1C=C,NVZWEEGUWXZOKI-UHFFFAOYSA-N,1-ethenyl-2-methylbenzene,-68.50 °C
17095,94,"InChI=1S/C13H26/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3H,1,4-13H2,2H3",CCCCCCCCCCCC=C,CCCCCCCCCCCC=C,VQOXUMQBYILCKR-UHFFFAOYSA-N,tridec-1-ene,"-11 °F (USCG, 1999)"
68296,94,InChI=1S/C3H2S3/c4-3-1-2-5-6-3/h1-2H,C1=CSSC1=S,C1=CSSC1=S,LZENMJMJWQSSNJ-UHFFFAOYSA-N,dithiole-3-thione,81 - 82 °C
95562,94,"InChI=1S/C5H11NO3/c6-4(5(8)9)2-1-3-7/h4,7H,1-3,6H2,(H,8,9)",C(CC(C(=O)O)N)CO,C(CC(C(=O)O)N)CO,CZWARROQQFCFJB-UHFFFAOYSA-N,2-amino-5-hydroxypentanoic acid,231.5 °C
8696,94,"InChI=1S/2C8H16O2.Co/c2*1-3-5-6-7(4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+2/p-2",CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2],CCCCC(CC)C(=O)[O-].CCCCC(CC)C(=O)[O-].[Co+2],QAEKNCDIHIGLFI-UHFFFAOYSA-L,cobalt(2+);2-ethylhexanoate,Melts in the range between 53-58 °C if heated in an aluminum crucible under nitrogen; melts under decomposition in the range between 64-84 °C if heated in an glass capillary under air
10341,94,"InChI=1S/C4H4O2/c5-4-2-1-3-6-4/h1-2H,3H2",C1C=CC(=O)O1,C1C=CC(=O)O1,VIHAEDVKXSOUAT-UHFFFAOYSA-N,2H-furan-5-one,4-5 °C
7472,93,"InChI=1S/C8H12N2/c1-10(2)8-5-3-7(9)4-6-8/h3-6H,9H2,1-2H3",CN(C)C1=CC=C(C=C1)N,CN(C)C1=CC=C(C=C1)N,BZORFPDSXLZWJF-UHFFFAOYSA-N,"4-N,4-N-dimethylbenzene-1,4-diamine","106 to 127 °F (EPA, 1998)"
6288,93,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",C[C@H]([C@@H](C(=O)O)N)O,CC(C(C(=O)O)N)O,AYFVYJQAPQTCCC-GBXIJSLDSA-N,"(2S,3R)-2-amino-3-hydroxybutanoic acid",256dec °C
69435,93,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m0/s1",C[C@@H]([C@H](C(=O)O)N)O,CC(C(C(=O)O)N)O,AYFVYJQAPQTCCC-STHAYSLISA-N,"(2R,3S)-2-amino-3-hydroxybutanoic acid",274dec °C
99289,93,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m0/s1",C[C@@H]([C@@H](C(=O)O)N)O,CC(C(C(=O)O)N)O,AYFVYJQAPQTCCC-HRFVKAFMSA-N,"(2S,3S)-2-amino-3-hydroxybutanoic acid",256 °C
516919,93,"InChI=1S/Na.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+1;/p-1",OS(=O)(=O)[O-].[Na+],OS(=O)(=O)[O-].[Na+],WBHQBSYUUJJSRZ-UHFFFAOYSA-M,sodium;hydrogen sulfate,Melting point equals 315 °C
126,93,"InChI=1S/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H",C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,RGHHSNMVTDWUBI-UHFFFAOYSA-N,4-hydroxybenzaldehyde,117°C
248,93,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3/p+1",C[N+](C)(C)CC(=O)O,C[N+](C)(C)CC(=O)O,KWIUHFFTVRNATP-UHFFFAOYSA-O,carboxymethyl(trimethyl)azanium,293 - 301 °C
6951124,93,"InChI=1S/C5H11NO2/c1-5(2,6-3)4(7)8/h6H,1-3H3,(H,7,8)",CC(C)(C(=O)[O-])[NH2+]C,CC(C)(C(=O)[O-])[NH2+]C,DLAMVQGYEVKIRE-UHFFFAOYSA-N,2-methyl-2-(methylazaniumyl)propanoate,300 °C
23322899,93,"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)",[H+].[H+].C(CC(=O)[O-])CC(=O)[O-],[H+].[H+].C(CC(=O)[O-])CC(=O)[O-],JFCQEDHGNNZCLN-UHFFFAOYSA-N,hydron;pentanedioate,95.8 °C
67940,93,"InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H",C(C(F)(F)F)(C(F)(F)F)F,C(C(F)(F)F)(C(F)(F)F)F,YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",-126.8 °C
340,93,"InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3",CC1=C(C(=CC=C1)O)O,CC1=C(C(=CC=C1)O)O,PGSWEKYNAOWQDF-UHFFFAOYSA-N,"3-methylbenzene-1,2-diol",68°C
6234,93,"InChI=1S/C3H6N2O2/c4-2-1-7-5-3(2)6/h2H,1,4H2,(H,5,6)/t2-/m1/s1",C1[C@H](C(=O)NO1)N,C1C(C(=O)NO1)N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"(4R)-4-amino-1,2-oxazolidin-3-one",155.5dec °C
7252,93,"InChI=1S/C7H10N2/c1-5-4-6(8)2-3-7(5)9/h2-4H,8-9H2,1H3",CC1=C(C=CC(=C1)N)N,CC1=C(C=CC(=C1)N)N,OBCSAIDCZQSFQH-UHFFFAOYSA-N,"2-methylbenzene-1,4-diamine",64 °C
7254,93,"InChI=1S/C7H6Cl2/c1-5-2-3-6(8)4-7(5)9/h2-4H,1H3",CC1=C(C=C(C=C1)Cl)Cl,CC1=C(C=C(C=C1)Cl)Cl,FUNUTBJJKQIVSY-UHFFFAOYSA-N,"2,4-dichloro-1-methylbenzene","7.7 °F (NTP, 1992)"
7261,93,"InChI=1S/C7H10N2/c1-5-2-3-6(8)4-7(5)9/h2-4H,8-9H2,1H3",CC1=C(C=C(C=C1)N)N,CC1=C(C=C(C=C1)N)N,VOZKAJLKRJDJLL-UHFFFAOYSA-N,"4-methylbenzene-1,3-diamine","210 °F (NTP, 1992)"
7707,93,"InChI=1S/C9H10O/c10-8-4-7-9-5-2-1-3-6-9/h1-3,5-6,8H,4,7H2",C1=CC=C(C=C1)CCC=O,C1=CC=C(C=C1)CCC=O,YGCZTXZTJXYWCO-UHFFFAOYSA-N,3-phenylpropanal,47 °C
9958,93,"InChI=1S/C7H8O2/c1-5-2-3-6(8)7(9)4-5/h2-4,8-9H,1H3",CC1=CC(=C(C=C1)O)O,CC1=CC(=C(C=C1)O)O,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,"4-methylbenzene-1,2-diol",65°C
10332,93,"InChI=1S/C7H10N2/c1-5-2-3-6(8)7(9)4-5/h2-4H,8-9H2,1H3",CC1=CC(=C(C=C1)N)N,CC1=CC(=C(C=C1)N)N,DGRGLKZMKWPMOH-UHFFFAOYSA-N,"4-methylbenzene-1,2-diamine","192 to 194 °F (NTP, 1992)"
17593,93,"InChI=1S/C7H10N2/c1-5-3-2-4-6(8)7(5)9/h2-4H,8-9H2,1H3",CC1=C(C(=CC=C1)N)N,CC1=C(C(=CC=C1)N)N,AXNUJYHFQHQZBE-UHFFFAOYSA-N,"3-methylbenzene-1,2-diamine",63.5 °C
1110,93,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",C(CC(=O)O)C(=O)O,C(CC(=O)O)C(=O)O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,butanedioic acid,"363 to 365 °F (NTP, 1992)"
5987,93,"InChI=1S/H3NO3S/c1-5(2,3)4/h(H3,1,2,3,4)",NS(=O)(=O)O,NS(=O)(=O)O,IIACRCGMVDHOTQ-UHFFFAOYSA-N,sulfamic acid,Melting point equals 205 °C
6395,93,"InChI=1S/CH4O3S/c1-5(2,3)4/h1H3,(H,2,3,4)",CS(=O)(=O)O,CS(=O)(=O)O,AFVFQIVMOAPDHO-UHFFFAOYSA-N,methanesulfonic acid,20 °C
8040,93,InChI=1S/C4H6O4/c1-3(5)7-8-4(2)6/h1-2H3,CC(=O)OOC(=O)C,CC(=O)OOC(=O)C,ZQMIGQNCOMNODD-UHFFFAOYSA-N,acetyl ethaneperoxoate,30 °C
8404,93,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",C1CCC2=CC=CC=C2C1,C1CCC2=CC=CC=C2C1,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,"1,2,3,4-tetrahydronaphthalene","-23.1 °F (USCG, 1999)"
11006,93,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC,DCAYPVUWAIABOU-UHFFFAOYSA-N,hexadecane,"64.7 °F (NTP, 1992)"
24603,93,"InChI=1S/FHO3S/c1-5(2,3)4/h(H,2,3,4)",OS(=O)(=O)F,OS(=O)(=O)F,UQSQSQZYBQSBJZ-UHFFFAOYSA-N,sulfurofluoridic acid,"-125.1 °F (USCG, 1999)"
24638,93,"InChI=1S/ClHO3S/c1-5(2,3)4/h(H,2,3,4)",OS(=O)(=O)Cl,OS(=O)(=O)Cl,XTHPWXDJESJLNJ-UHFFFAOYSA-N,sulfurochloridic acid,"-112 °F (USCG, 1999)"
7220,92,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)",C1=CC2=NNN=C2C=C1,C1=CC2=NNN=C2C=C1,QRUDEWIWKLJBPS-UHFFFAOYSA-N,2H-benzotriazole,"208 to 212 °F (NTP, 1992)"
14222,92,"InChI=1S/C12H27N/c1-10(2)7-13(8-11(3)4)9-12(5)6/h10-12H,7-9H2,1-6H3",CC(C)CN(CC(C)C)CC(C)C,CC(C)CN(CC(C)C)CC(C)C,IIFFFBSAXDNJHX-UHFFFAOYSA-N,"2-methyl-N,N-bis(2-methylpropyl)propan-1-amine","-7.2 °F (NTP, 1992)"
15654,92,"InChI=1S/C6H7NS/c1-3-6-5(2)7-4-8-6/h3-4H,1H2,2H3",CC1=C(SC=N1)C=C,CC1=C(SC=N1)C=C,QUAMMXIRDIIGDJ-UHFFFAOYSA-N,"5-ethenyl-4-methyl-1,3-thiazole",-15 °C
16682931,92,"InChI=1S/3C4H9.Al/c3*1-4(2)3;/h3*4H,1H2,2-3H3;",CC(C)C[Al](CC(C)C)CC(C)C,CC(C)C[Al](CC(C)C)CC(C)C,MCULRUJILOGHCJ-UHFFFAOYSA-N,tris(2-methylpropyl)alumane,"33.8 °F (USCG, 1999)"
86287517,92,"InChI=1S/CH4N4O2/c2-1(3)4-5(6)7/h(H4,2,3,4)",C(=N)(N)N[N+](=O)[O-],C(=N)(N)N[N+](=O)[O-],IDCPFAYURAQKDZ-UHFFFAOYSA-N,1-nitroguanidine,239 °C (decomposes)
7617,92,"InChI=1S/C9H15N/c1-4-7-10(8-5-2)9-6-3/h4-6H,1-3,7-9H2",C=CCN(CC=C)CC=C,C=CCN(CC=C)CC=C,VPYJNCGUESNPMV-UHFFFAOYSA-N,"N,N-bis(prop-2-enyl)prop-2-en-1-amine","-94 °F (NTP, 1992)"
8062,92,InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2,C(CC#N)C#N,C(CC#N)C#N,IAHFWCOBPZCAEA-UHFFFAOYSA-N,butanedinitrile,"135 to 136 °F (NTP, 1992)"
8031,92,"InChI=1S/C8H18O2/c1-7(2,9)5-6-8(3,4)10/h9-10H,5-6H2,1-4H3",CC(C)(CCC(C)(C)O)O,CC(C)(CCC(C)(C)O)O,ZWNMRZQYWRLGMM-UHFFFAOYSA-N,"2,5-dimethylhexane-2,5-diol",92 °C
118211813,92,"InChI=1S/C3H4O5/c4-1(2(5)6)3(7)8/h1,4H,(H,5,6)(H,7,8)",[H+].[H+].C(C(=O)[O-])(C(=O)[O-])O,[H+].[H+].C(C(=O)[O-])(C(=O)[O-])O,ROBFUDYVXSDBQM-UHFFFAOYSA-N,hydron;2-hydroxypropanedioate,156 - 158 °C
17288,92,"InChI=1S/C4H7NO2/c6-4(7)3-1-2-5-3/h3,5H,1-2H2,(H,6,7)",C1CNC1C(=O)O,C1CNC1C(=O)O,IADUEWIQBXOCDZ-UHFFFAOYSA-N,azetidine-2-carboxylic acid,217 °C
5255805,91,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",CSCCC(C(=O)[O-])[NH3+],CSCCC(C(=O)[O-])[NH3+],FFEARJCKVFRZRR-UHFFFAOYSA-N,2-azaniumyl-4-methylsulfanylbutanoate,281 °C
6992087,91,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",CSCC[C@@H](C(=O)[O-])[NH3+],CSCCC(C(=O)[O-])[NH3+],FFEARJCKVFRZRR-BYPYZUCNSA-N,(2S)-2-azaniumyl-4-methylsulfanylbutanoate,284 °C
53262363,91,"InChI=1S/C5H11NO2Se/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",C[Se]CC[C@@H](C(=O)[O-])[NH3+],C[Se]CCC(C(=O)[O-])[NH3+],RJFAYQIBOAGBLC-BYPYZUCNSA-N,(2S)-2-azaniumyl-4-methylselanylbutanoate,275 °C
135373086,91,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)",[H+].CSCCC(C(=O)[O-])N,[H+].CSCCC(C(=O)[O-])N,FFEARJCKVFRZRR-UHFFFAOYSA-N,2-amino-4-methylsulfanylbutanoate;hydron,281 °C
7958,91,"InChI=1S/C9H18O/c1-7(2)5-9(10)6-8(3)4/h7-8H,5-6H2,1-4H3",CC(C)CC(=O)CC(C)C,CC(C)CC(=O)CC(C)C,PTTPXKJBFFKCEK-UHFFFAOYSA-N,"2,6-dimethylheptan-4-one","-51.5 °F (NTP, 1992)"
8124,91,"InChI=1S/C8H15ClO/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3",CCCCCCCC(=O)Cl,CCCCCCCC(=O)Cl,REEZZSHJLXOIHL-UHFFFAOYSA-N,octanoyl chloride,"-30.1 °F (NTP, 1992)"
6517,91,"InChI=1S/C8H20O4Si/c1-5-9-13(10-6-2,11-7-3)12-8-4/h5-8H2,1-4H3",CCO[Si](OCC)(OCC)OCC,CCO[Si](OCC)(OCC)OCC,BOTDANWDWHJENH-UHFFFAOYSA-N,tetraethyl silicate,"-121.9 °F (USCG, 1999)"
8207,91,"InChI=1S/C13H28O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14/h14H,2-13H2,1H3",CCCCCCCCCCCCCO,CCCCCCCCCCCCCO,XFRVVPUIAFSTFO-UHFFFAOYSA-N,tridecan-1-ol,32.5 °C
95669,91,"InChI=1S/C9H18O3/c1-4-7-10-8(5-2)12-9(6-3)11-7/h7-9H,4-6H2,1-3H3",CCC1OC(OC(O1)CC)CC,CCC1OC(OC(O1)CC)CC,GYBGKXFOKOSPLS-UHFFFAOYSA-N,"2,4,6-triethyl-1,3,5-trioxane",-20 °C
7366,91,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",CC(C)(C)C1=CC=CC=C1,CC(C)(C)C1=CC=CC=C1,YTZKOQUCBOVLHL-UHFFFAOYSA-N,tert-butylbenzene,-57.8 °C
8035,91,"InChI=1S/C6H10O2/c1-5(7)3-4-6(2)8/h3-4H2,1-2H3",CC(=O)CCC(=O)C,CC(=O)CCC(=O)C,OJVAMHKKJGICOG-UHFFFAOYSA-N,"hexane-2,5-dione","22.1 °F (NTP, 1992)"
62539,91,"InChI=1S/C6H10O2/c1-3-5(7)6(8)4-2/h3-4H2,1-2H3",CCC(=O)C(=O)CC,CCC(=O)C(=O)CC,KVFQMAZOBTXCAZ-UHFFFAOYSA-N,"hexane-3,4-dione",-10 °C
7061,91,"InChI=1S/C10H15N/c1-3-11(4-2)10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3",CCN(CC)C1=CC=CC=C1,CCN(CC)C1=CC=CC=C1,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,"N,N-diethylaniline","-37.8 °F (NTP, 1992)"
33510,91,"InChI=1S/C5H10O4/c1-4(7)9-3-5(8)2-6/h5-6,8H,2-3H2,1H3",CC(=O)OCC(CO)O,CC(=O)OCC(CO)O,KMZHZAAOEWVPSE-UHFFFAOYSA-N,"2,3-dihydroxypropyl acetate",FP: -78 °C
61021,91,"InChI=1S/C8H16O4/c1-5-9-6(2)11-8(4)12-7(3)10-5/h5-8H,1-4H3",CC1OC(OC(OC(O1)C)C)C,CC1OC(OC(OC(O1)C)C)C,GKKDCARASOJPNG-UHFFFAOYSA-N,"2,4,6,8-tetramethyl-1,3,5,7-tetraoxocane",246.2 °C (closed capillary)
7465,91,"InChI=1S/C9H12O/c1-7(2)8-3-5-9(10)6-4-8/h3-7,10H,1-2H3",CC(C)C1=CC=C(C=C1)O,CC(C)C1=CC=C(C=C1)O,YQUQWHNMBPIWGK-UHFFFAOYSA-N,4-propan-2-ylphenol,62.3 °C
12699,91,"InChI=1S/C2H5N3O2/c1-5(4-7)2(3)6/h1H3,(H2,3,6)",CN(C(=O)N)N=O,CN(C(=O)N)N=O,ZRKWMRDKSOPRRS-UHFFFAOYSA-N,1-methyl-1-nitrosourea,"255 °F (decomposes) (NTP, 1992)"
12989,91,"InChI=1S/C7H14O3/c1-3-9-6-5-7(8)10-4-2/h3-6H2,1-2H3",CCOCCC(=O)OCC,CCOCCC(=O)OCC,BHXIWUJLHYHGSJ-UHFFFAOYSA-N,ethyl 3-ethoxypropanoate,"-148 °F (USCG, 1999)"
87793,91,"InChI=1S/C10H16S/c1-2-3-4-5-7-10-8-6-9-11-10/h6,8-9H,2-5,7H2,1H3",CCCCCCC1=CC=CS1,CCCCCCC1=CC=CS1,QZVHYFUVMQIGGM-UHFFFAOYSA-N,2-hexylthiophene,41.00 °C. @ 760.00 mm Hg
7517,91,"InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2",C1CCC(=NO)CC1,C1CCC(=NO)CC1,VEZUQRBDRNJBJY-UHFFFAOYSA-N,N-cyclohexylidenehydroxylamine,"192 to 196 °F (NTP, 1992)"
7725,91,"InChI=1S/C8H8O/c1-7-2-4-8(6-9)5-3-7/h2-6H,1H3",CC1=CC=C(C=C1)C=O,CC1=CC=C(C=C1)C=O,FXLOVSHXALFLKQ-UHFFFAOYSA-N,4-methylbenzaldehyde,-6 °C
12570,91,"InChI=1S/C9H12O/c1-2-5-8-6-3-4-7-9(8)10/h3-4,6-7,10H,2,5H2,1H3",CCCC1=CC=CC=C1O,CCCC1=CC=CC=C1O,LCHYEKKJCUJAKN-UHFFFAOYSA-N,2-propylphenol,7 °C
14085,91,"InChI=1S/C8H7Cl/c1-2-7-3-5-8(9)6-4-7/h2-6H,1H2",C=CC1=CC=C(C=C1)Cl,C=CC1=CC=C(C=C1)Cl,KTZVZZJJVJQZHV-UHFFFAOYSA-N,1-chloro-4-ethenylbenzene,-15.90 °C
62453,91,"InChI=1S/C8H8O/c1-2-7-3-5-8(9)6-4-7/h2-6,9H,1H2",C=CC1=CC=C(C=C1)O,C=CC1=CC=C(C=C1)O,FUGYGGDSWSUORM-UHFFFAOYSA-N,4-ethenylphenol,73.5 °C
5314126,91,InChI=1S/C8H7Br/c9-7-6-8-4-2-1-3-5-8/h1-7H/b7-6+,C1=CC=C(C=C1)/C=C/Br,C1=CC=C(C=C1)C=CBr,YMOONIIMQBGTDU-VOTSOKGWSA-N,[(E)-2-bromoethenyl]benzene,"min, - 2 °C"
6893,91,"InChI=1S/C8H11N/c1-6-4-3-5-8(9)7(6)2/h3-5H,9H2,1-2H3",CC1=C(C(=CC=C1)N)C,CC1=C(C(=CC=C1)N)C,VVAKEQGKZNKUSU-UHFFFAOYSA-N,"2,3-dimethylaniline","less than 5 °F (NTP, 1992)"
7248,91,"InChI=1S/C8H11N/c1-6-3-4-8(9)5-7(6)2/h3-5H,9H2,1-2H3",CC1=C(C=C(C=C1)N)C,CC1=C(C=C(C=C1)N)C,DOLQYFPDPKPQSS-UHFFFAOYSA-N,"3,4-dimethylaniline","124 °F (NTP, 1992)"
7249,91,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",CC1=C(C=C(C=C1)O)C,CC1=C(C=C(C=C1)O)C,YCOXTKKNXUZSKD-UHFFFAOYSA-N,"3,4-dimethylphenol","144.5 °F (NTP, 1992)"
7250,91,"InChI=1S/C8H11N/c1-6-3-4-8(9)7(2)5-6/h3-5H,9H2,1-2H3",CC1=CC(=C(C=C1)N)C,CC1=CC(=C(C=C1)N)C,CZZZABOKJQXEBO-UHFFFAOYSA-N,"2,4-dimethylaniline","61 °F (NTP, 1992)"
